userName,content,score,at,appVersion
UCIL OLOL LEHO [UOL],"Kenapa Indosat ada tuyulnya sekarang pulsa tiba-tiba berkurang padahal saya tidak punya paket dan data seluler selalu mati,,, Apakah Indosat memelihara tuyul",1,2024-02-02 05:17:07,82.0.5
Pp.joaana,aplikasi ini sangat bagus,5,2024-02-02 05:16:51,82.0.5
Xeraphine,"Tolong itu sistem login nomor utama dan nomor sekunder diaplikasi dihapuskan aja, cuma bikin ribet bikin repot ketika mau cek pulsa atau kuota antara nomor A dan nomor B. Selebihnya semua dah oke.",3,2024-02-02 05:13:29,
Sugeng dian pamungkas,Sekarang pilihanya yg 30 hari naik terus harganya. Gak ada yg murah 🤦🤦,4,2024-02-02 05:13:07,
Bang Tinus,murah,5,2024-02-02 05:11:20,81.16.0
Mela Diana,kadang lemot,4,2024-02-02 05:10:54,81.16.0
Riskik Lina,gabdem,5,2024-02-02 05:02:42,81.14.2
Herlan Ardiansyah,hebat,4,2024-02-02 04:50:32,82.0.5
Bahar Maroi,Bagus,4,2024-02-02 04:47:15,82.0.5
mang pecu,"Pelayanan bayar bulanan, iseng isi pulsa buat keperluan penambahan paket, jumlah pulsa tidak ada di aplikasi",1,2024-02-02 04:45:17,81.2.1
Adelia Raidha,"IM3 jaringannyaa jelek bangett, percumaa mode pesawat sama restart tetep ga ada sinyalnya,mana pulsa suka tiba tiba hilang padahal gadipake apa apa data juga off",1,2024-02-02 04:40:51,82.0.4
Hayato Hayato,Sinyal jelek rugi make m3 udah paket mahal sinyal busuk,1,2024-02-02 04:39:42,
Adit Ainur Rozikin,Masa ga bisa registrasi padahal sudah isi pulsa 10k,1,2024-02-02 04:38:39,82.0.5
FF MIAW,👍,4,2024-02-02 04:34:25,
Intan Purnama sari,Kerenkeren,4,2024-02-02 04:32:55,82.0.3
Kuderi Kud,hemat pulasnya,5,2024-02-02 04:32:33,82.0.5
Uray Feriadi Feri,saya puas,4,2024-02-02 04:32:30,
Suroto Prayitno,sangat membantu,5,2024-02-02 04:25:52,82.0.5
M Abud,bagus banget,5,2024-02-02 04:20:05,82.0.4
Rian indra,bagus,5,2024-02-02 04:18:03,82.0.5
Danuja Bagaskara,saya baru beli internet tapi tidak bisa digunakan.,2,2024-02-02 04:15:29,82.0.5
Agung Santoso,mylm3 .sangat memuaskan,5,2024-02-02 04:14:48,81.16.0
Krisna Mukti,mau top up game tidak bisa,1,2024-02-02 04:10:33,82.0.5
SAYADISINIBUKANSAYA YOGYAKARTA AMAN,kalo bisa banyak penukaran koin yang dikit aja,5,2024-02-02 04:07:55,
Egri Winda,Kecewa bangat sama kartu ini baru beli paket 100 gb tiba tiba habis Kecewa sekali dengan aplikasi ini,1,2024-02-02 04:06:32,82.0.2
Elvan Syaqi,ksh 4 dulu,4,2024-02-02 04:06:06,82.0.5
Alviyan Muntoha,baik sekali,5,2024-02-02 04:05:16,
iqbal fikri,bagus,5,2024-02-02 03:52:11,81.4.0
