content,score,label
Sinyal jelek banget. Padahal kuota 32GB. Parah menyebalakan,1,0
"Sangat buruk kekuatan sinyal nya, kami kecewa dengan im3 yg di tahun 2024",1,0
Saya top up/isi ulang pulsa gagal/pulsa tidak masuk padahal di aplikasi DANA sudah terverifikasi pembayaran succes tpi pulsa tidak masuk malah notif gagal di aplikasi myIM3,1,0
Buka Aplikasi MyIM3 sering gangguan,1,0
"Aplikasi ny sangat buruk, masa ngisi pulsa kadang pulsa ny bisa berkurang sendiri Semakin di update semkin buruk",1,0
Ini masalah paling serius dan harus segera di tangani yaitu saat terjadi hujan teras ataupun mendung Kouta nya jadi melampat padahal jaringan nya masih bagus tolong masalah ini segera di perbaiki,1,0
bagus banget bnyk promonya,1,0
sinyalnya tolng dong di kencengin lagi,2,0
Kenapa apk nya masi gk bisa di buka. Percuma download myIm3,1,0
"Tolong donk untuk verifikasi dipermudah,sms verifikasi lama bngttt,kenpa gk verifikasi via WA aja dr pd via sms.sms udh zaman kapan tau msh aja dipake",2,0
"Game panjat kuota gak jelas, tiap mau menang langkah nya selalu dapat lebih 1, scam ngabisin kuota doang",1,0
Indosat sya mau kompelen sya beli paket data seharga 140ribu lewat briva saldo udah kepotong paket gagal masuk sampai sekarang saldo sya tidak balik,1,0
"jelek eror mulu, muter2 aja data ne",1,0
Jaringan stabil...,3,0
Terimakasih,3,0
"Aplikasi nya kurang bagus, terkadang paket internet nya berubah ubah tidak konsisten, tolong tingkatkan lagi.",1,0
Saya sudah kapok lakekt mtri mulai skrg saya mau ganti buat pengguna emtri cpt tan ganti sebelum anda ngerasain ngelag lebih parah pakek Telkomsel enak broo buat admin emtri saran deh kalau kartu lah jangan di naikin harga kuota nya mana ngelag lemot hadeh admin ga bertanggung jawab,1,0
"Ini apk nya gini bgt yah,,masa klo ada pulsa tanpa kita gunakan habis sendri,, Kouta masih ada,,tapi klo ada pulsa habis dimakan nya aneh 😡 Klo bisa apk nya diperbaiki lah jangan kayak gini,,kami yg menggunakan apk ini jadi rugi😡",1,0
"Ini kenapa ya pulsa saya tiba-tiba berkurang terus setiap harinya, padahal saya tidak melakukan tindakan pembelian apapun menggunakan pulsa, tolong untuk ditindak lanjuti.",3,0
Kapok beli paket indosat 👎👎,1,0
"Dari segi aplikasi masih perlu perbaikan.Informasi kartu & paket yg kurang detail & cenderung intimidasi cukup menggaggu..misal ""SIM Expiring"" dgn tulisan warna merah..pdhl kartu masih dalam masa aktif. Dari segi fitur sendiri sudah makin kurang asik..misal Masa aktif kartu yg tdk Akumulatif dan Paket internet mulai mahal",2,0
Lemot bgt,3,0
paket internet mahal doang signal nya kek babi. padahal di jkt,1,0
"Mau login tidak bisa, padahal udah masukin otp otomatis... Aduh parah ini aplikasi im3",1,0
Aplikasinya sih bagus cuma kenapa masih dpt sms tawaran slot judi online melulu. Ini gmn ceritanya sih indosat ????,1,0
Terlanjur beli paket pulsa untuk 3 bln buan ini Eh signal jadi sering lemah dan putus2 Padahal harga sudah naik loh 🙄,2,0
"Udah 2 bulan ini aplikasi tidak bisa dibuka, reload terus, padahal jaringannya bagus. Jadi susah buat beli ataupun cek kuota.",1,0
harga kuota tidak jelas,1,0
